"﻿""Област""","Населено място","Тип","Име на училище","Общ брой ученици","География и икономика / Макс 18","История и цивилизация / Макс 18","Физика и астрономия / Макс 15","Химия и опазване на околната среда / Макс 15","Биология и здравно образование / Макс 15","Чужд език / Макс 35","Български език и литература / Макс 65","Математика / Макс 65"
"Велико Търново","Велико Търново","град","СОУ ""Владимир Комаров""","12","10.33","9.56","7.88","5.5","6.12","18.25","20.6","12.22"
"Велико Търново","Велико Търново","град","СОУ ""Г. С. Раковски""","11","7.8","6.8","5.12","2.25","5.12","13","15.25","9.33"
"Велико Търново","Велико Търново","град","Спортно училище","39","13.59","12.67","9.07","7.93","7.3","20.58","29.01","19.85"
"Велико Търново","Горна Оряховица","град","ОУ ""Иван Вазов""","51","13.96","12.14","9.12","9.06","8.08","19.71","35.83","28.24"
"Велико Търново","Горна Оряховица","град","ОУ ""Св.П.Хилендарски""","22","8.53","7.88","6.47","5.71","6.35","16.2","13.06","9.47"
"Велико Търново","Първомайци","село","ОУ ""Елин Пелин""","5","4.5","6","4.6","2.8","4.6","11.25","8.6","8.8"
"Велико Търново","Долна Оряховица","град","ОУ ""Св.св.Кирил и Методий""","15","12.86","11.14","9.07","6.5","6.93","19.14","29.14","20.79"
"Велико Търново","Писарево","село","ОУ ""Отец Паисий""","5","5.2","7.6","7.5","6.5","6","12.2","12.7","8.6"
"Велико Търново","Върбица","село","ОУ ""Васил Левски""","7","8.17","8.17","8.33","8","7.33","17","31.29","31.67"
"Велико Търново","Драганово","село","ОУ ""Кл.Охридски""","13","6.92","7.67","8","3.33","5.33","10.25","17.15","11.85"
"Велико Търново","Поликраище","село","ОУ ""Св.Св.Кирил и Методий""","18","12.71","11.64","9.79","7.07","8.21","19.07","31.09","19.5"
"Велико Търново","Горна Оряховица","град","СОУ ""Георги Измирлиев""","102","13.23","12.16","10.07","10.7","10.18","21.67","32.67","22.17"
"Велико Търново","Горна Оряховица","град","СОУ ""Вичо Грънчаров""","89","12.95","12.43","9.09","8.35","9.6","20.8","36.2","27.61"
"Велико Търново","Беброво","село","ОУ ""Христо Ботев""","7","10.14","8.86","8.71","8","10.14","15.71","30.71","20.43"
"Велико Търново","Константин","село","ОУ ""Отец Паисий""","12","11","9.64","8.36","9.82","8.45","17.73","29.55","13"
"Велико Търново","Майско","село","ОУ ""Отец Паисий""","16","10.64","9.64","7.4","8.4","9.27","16.8","34.36","33.07"
"Велико Търново","Елена","град","СОУ""Иван Н.Момчилов""","53","13.35","13.27","10.68","10.02","9.96","22.71","33","22.16"
"Велико Търново","Горско ново село","село","ОУ ""Христо Ботев""","5","6.5","7","6","5.4","5.8","11.5","10.2","12.6"
"Велико Търново","Златарица","град","СОУ ""Св.св.Кирил и Методий""","25","8.83","7.29","7.39","5.13","5.52","12.65","19.06","8.79"
"Велико Търново","Джулюница","село","ОУ ""П.Р.Славейков""","19","10.41","11.53","7.58","7.26","8","18.5","31.97","31.75"
"Велико Търново","Лясковец","град","СОУ ""М. Райкович""","62","13.15","11.98","8.3","8.3","7.74","20.11","32.36","29.55"
"Велико Търново","Павликени","град","ОУ ""Св.Климент Охридски""","66","12.41","12.19","9.35","8.48","8.78","19.21","31.57","19.98"
"Велико Търново","Бяла черква","град","ОУ ""Бачо Киро""","20","6.46","6.85","4.46","4.54","4.15","9.29","17.21","9.07"
"Велико Търново","Върбовка","село","ОУ ""Филип Тотю""","18","8.72","8.11","6.53","6.8","6.8","13.18","13.89","9.28"
"Велико Търново","Караисен","село","ОУ ""Х.Димитър и Ст.Караджа""","12","8.33","8.25","6.33","5.17","5.5","13.33","20.67","13.92"
"Велико Търново","Батак","село","ОУ ""Св.св.Кирил и Методий""","12","10.67","7.08","7.78","7.11","10","7.67","6.9","15.4"
"Велико Търново","Недан","село","ОУ ""Христо Ботев""","6","5.6","5.2","5","6.17","4.67","17.2","23.5","14.83"
"Велико Търново","Павликени","град","СОУ ""Бачо Киро""","55","11.52","10.94","8.43","6.33","7.98","18.42","32.12","22.28"
"Велико Търново","Раданово","село","ОУ ""Св.Св.Кирил и Методий""","22","9.33","7.67","6.05","6.4","7.1","14.06","19.47","20.71"
"Велико Търново","Петко Каравелово","село","ОУ ""Васил Левски""","15","9.67","10.53","8.13","7.2","8.2","21.87","23.93","13.47"
"Велико Търново","Страхилово","село","ОУ ""Св.св.Кирил и Методий""","5","10.5","10","5.5","4.75","4.25","18.75","10","12.25"
"Велико Търново","Полски Тръмбеш","град","СОУ ""Ц.Церковски""","70","10.11","9.18","7.03","7.18","7.28","20.84","23.52","13.22"
"Велико Търново","Свищов","град","ОУ ""Ф.Сакелариевич""","21","7.19","7.52","7.38","4.38","5.05","11.9","16.33","11.62"
"Велико Търново","Алеково","село","ОУ ""Христо Ботев""","10","10.88","10.62","6","3.14","5.57","18.11","15.33","9.33"
"Велико Търново","Морава","село","ОУ ""Св.св.Кирил и Методий""","13","10.82","9.27","8.67","8.17","7.5","16.67","22.67","16.83"
"Велико Търново","Овча могила","село","ОУ ""Св. св. Кирил и Методий""","19","9","8.28","7.11","5.44","4.94","12.72","22.81","9.44"
"Велико Търново","Ореш","село","ОУ ""Хр. Ботев""","10","11.4","11.4","8.3","11.5","9.2","18.7","26.85","27"
"Велико Търново","Свищов","град","СОУ ""Цв. Радославов""","36","12.03","11.25","8.77","7.46","7.71","20.63","25.53","16.03"
"Велико Търново","Свищов","град","СОУ ""Николай Катранов""","49","12.42","13.1","9.48","7.59","7.59","20.04","37.42","23.9"
"Велико Търново","Свищов","град","СОУ ""Д.Благоев""","74","13","11.51","8.96","7.9","8.53","21.82","35.26","26.83"
"Велико Търново","Асеново","село","ОУ ""Св. св. Кирил и Методий""","11","10.6","9.8","7.73","7.82","5.55","19","10.27","15.6"
"Велико Търново","Виноград","село","ОУ ""Св.Кл.Охридски""","9","11.33","10.89","9.44","9.11","9.22","19.78","28","24.11"
"Велико Търново","Кесарево","село","ОУ ""Н. Райнов""","13","9.3","9.5","9.3","5.6","7.6","14.2","12.45","10"
"Велико Търново","Стражица","град","СОУ ""А.Каралийчев""","90","10.07","9.41","7.07","7.44","7.79","15.68","24.57","15.91"
"Велико Търново","Камен","село","СОУ ""Св.Кл. Охридски""","34","6.79","8","6.89","3.96","5.04","8.86","14.3","9.07"
"Велико Търново","Сухиндол","град","СОУ ""Св.Кл.Охридски""","18","11.83","10.61","11.72","8.78","12.11","20","20.11","10.17"
"Варна","Варна","град","ОУ ""Антон Страшимиров""","74","14.41","13.05","10.45","10.79","10.07","26.22","39.82","31.79"
"Варна","Варна","град","ОУ ""Васил Априлов""","29","13.52","11.26","9.96","9.11","7.74","22.63","39.86","35.5"
"Варна","Варна","град","ОУ ""Г.С. Раковски""","104","14.04","13.49","10.79","9.77","9.57","28.19","43.92","39.05"
"Варна","Варна","град","ОУ ""Добри Чинтулов""","101","14.77","13.84","10.93","11.62","11.18","26.28","39.74","34.13"
"Варна","Варна","град","ОУ ""Захари Стоянов""","93","14.64","12.97","10.11","10.55","10.06","26.31","46.51","40.13"
"Варна","Варна","град","ОУ ""Иван Вазов""","25","13.68","13.16","11.24","10.88","7.84","28.28","36.32","35.88"
"Варна","Варна","град","ОУ""Св. Иван Рилски""","48","6.43","8","6.08","4.33","4.53","14.81","15.98","10.17"
"Варна","Варна","град","ОУ""Йордан Йовков""","39","14.5","12.97","8.54","8","8.26","24.21","39.94","37.56"
"Варна","Варна","град","ОУ""Константин Арабаджиев""","26","14.78","12.83","12.28","10.56","11.06","23.33","21.6","28.93"
"Варна","Каменар","село","ОУ ""Д. Войников""","18","7.56","8.67","7.18","7.82","8.29","15.39","8.06","13.17"
"Варна","Варна","град","ОУ ""Кап. Петко войвода""","5","8","7.8","7","4.6","6.6","14.4","17.7","9.75"
"Варна","Варна","град","ОУ ""Отец Паисий""","24","5","5.83","6.31","5.92","7.38","12.38","7.35","6.82"
"Варна","Варна","град","ОУ ""Панайот Волов""","27","13.39","13.09","9.95","10.27","9.27","24.23","38.85","29.04"
"Варна","Варна","град","ОУ ""Св. Патриарх Евтимий""","82","13.79","13.44","10.39","8.91","8.21","23.66","35.66","29.67"
"Варна","Варна","град","ОУ ""П.Р.Славейков""","134","16.97","16.46","12.62","13.65","12.52","32.59","46.68","49.99"
"Варна","Варна","град","ОУ""Св.св.Кирил и Методий""","98","16.39","16.25","12.95","12.46","12.28","31.21","45.15","42.11"
"Варна","Варна","град","ОУ ""Стефан Караджа""","52","13.1","12.26","9.96","9.14","7.71","22.08","40.08","29.84"
"Варна","Варна","град","ОУ ""Стоян Михайловски""","48","13.48","13.96","10.28","9.57","9.64","19.53","27.44","19.4"
"Варна","Варна","град","ОУ ""Христо Ботев""","57","11.76","10.65","9.71","8.47","7.76","19.07","29.96","26.55"
"Варна","Тополи","село","ОУ ""Христо Смирненски""","18","12.73","13.33","10.8","10.13","10.47","27","41","33.93"
"Варна","Варна","град","ОУ ""Цар Симеон І""","81","13.91","12.31","10.59","10.41","9.21","24.81","36.16","33.01"
"Варна","Варна","град","ОУ""Черноризец Храбър""","52","13.04","12.18","10.12","9.16","9.06","23.27","36.71","32.38"
"Варна","Варна","град","VІІ СОУ ""Найден Геров""","136","15.03","14.56","11.04","10.39","9.96","27.61","41.18","45.36"
"Варна","Варна","град","VIII СОУПЧЕ ""Ал. С. Пушкин""","121","15.15","14.69","9.9","9.12","8.85","26.97","45.58","43.85"
"Варна","Варна","град","ОУ ""Васил Друмев""","26","13.09","12.43","11.52","9.48","9.61","20.35","31.79","27.04"
"Варна","Варна","град","СУ ""Георги Бенковски""","74","9.57","9.02","7.12","6.23","7.5","17.4","26.81","16.93"
"Варна","Варна","град","СОУ ""Гео Милев""","100","14.23","14.53","11.05","11.1","10.54","29.41","40.1","38.81"
"Варна","Варна","град","СОУ ""Елин Пелин""","39","10.47","10.17","10.46","9.68","9.36","16.79","22.14","19.33"
"Варна","Варна","град","СОУ ""Любен Каравелов""","49","7.35","7.96","5.47","4.06","5.4","16.75","19.62","13.02"
"Варна","Варна","град","СОУ ""Пейо Кр. Яворов""","49","14.78","12.78","10.56","10.04","11.25","23.14","37.01","33.63"
"Варна","Варна","град","СОУ ""Св.Климент Охридски""","157","14.4","13.94","10.74","9.91","9.83","27.06","48.45","44.68"
"Варна","Варна","град","МГ ""Д-р  П. Берон""","55","16.2","15","13.02","13.65","12.29","33.69","54.75","63.78"
